Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;LLURIA;VIERNES;11:30:00;0
glovo&local;LLURIA;VIERNES;12:00:00;0.002427213
glovo&local;LLURIA;VIERNES;12:30:00;0.002779241
glovo&local;LLURIA;VIERNES;13:00:00;0.004636661
glovo&local;LLURIA;VIERNES;13:30:00;0.006338395
glovo&local;LLURIA;VIERNES;14:00:00;0.008206279
glovo&local;LLURIA;VIERNES;14:30:00;0.010047892
glovo&local;LLURIA;VIERNES;15:00:00;0.00929748
glovo&local;LLURIA;VIERNES;15:30:00;0.008905031
glovo&local;LLURIA;VIERNES;16:00:00;0.008160937
glovo&local;LLURIA;VIERNES;16:30:00;0.007502247
glovo&local;LLURIA;VIERNES;17:00:00;0.00552515
glovo&local;LLURIA;VIERNES;17:30:00;0.004706242
glovo&local;LLURIA;VIERNES;18:00:00;0.004023607
glovo&local;LLURIA;VIERNES;18:30:00;0.004230571
glovo&local;LLURIA;VIERNES;19:00:00;0.004613751
glovo&local;LLURIA;VIERNES;19:30:00;0.005004714
glovo&local;LLURIA;VIERNES;20:00:00;0.00555091
glovo&local;LLURIA;VIERNES;20:30:00;0.005851743
glovo&local;LLURIA;VIERNES;21:00:00;0.006325918
glovo&local;LLURIA;VIERNES;21:30:00;0.00627096
glovo&local;LLURIA;VIERNES;22:00:00;0.006985643
glovo&local;LLURIA;VIERNES;22:30:00;0.006570231
glovo&local;LLURIA;VIERNES;23:00:00;0.005774826
glovo&local;LLURIA;VIERNES;23:30:00;0
glovo&local;LLURIA;SABADO;0:00:00;0
glovo&local;LLURIA;SABADO;0:30:00;0
glovo&local;LLURIA;SABADO;1:00:00;0
glovo&local;LLURIA;SABADO;1:30:00;0
glovo&local;LLURIA;SABADO;2:00:00;0
glovo&local;LLURIA;SABADO;2:30:00;0
glovo&local;LLURIA;SABADO;3:00:00;0
glovo&local;LLURIA;SABADO;3:30:00;0
glovo&local;LLURIA;SABADO;4:00:00;0
glovo&local;LLURIA;SABADO;4:30:00;0
glovo&local;LLURIA;SABADO;5:00:00;0
glovo&local;LLURIA;SABADO;5:30:00;0
glovo&local;LLURIA;SABADO;6:00:00;0
glovo&local;LLURIA;SABADO;6:30:00;0
